index,review_date,user,item,rating,review_text,contains_pattern
2524,1 September 2020,tangsengbros,Once Upon a Time... In Hollywood (2019),10.0,"Once Upon a Time in Hollywood is Quentin Tarantino's ninth film also his latest. It tells the story of two Hollywood stars struggling to recapture fame and success in 1960s Los Angeles.I've got to say this is the film that Tarantino should be making at this time of his career. I've seen all of his films and I might say that I know his taste to filmmaking by now. The film doesn't feel like it was made in 2019, it felt like it's a film that was made in the 60s and released in today.This is a laid-back film where characters just hang out, sit down and talk regarding their days. The film shows how much Tarantino loves that era of Hollywood. I can see it in the film. I love how he approaches movies. I love his thoughts on filmmaking. That's why he's by far on my top 3 best directors' list.Easily, the Best part of this movie is Cliff Booth (Brad Pitt) I mean he's really great in this movie it added so much to the movie. Rick Dalton is also great... (Leonardo Dicaprio) Margot Robbie... everyone works, I love the casting. Leo and Brad made this movie so elevated. For me, almost every scene and every line are rememberable. Seriously seeing Al Pacino doing a machine gun impression blows my mind, I laughed so hard. It was such a great scene in the trailer.The Soundtracks... I LOVE IT! If you're doing a review for the movie without mentioning the soundtracks... You have failed my friend... you have failed. Haha, I'm kidding but in all honesty, the soundtracks also added something to the movie. The movie almost feels different without it.In my mind, I truly believed that the Characters of Rick and Cliff actually existed. Tarantino does a very great job of helming all the characters by putting them in weird situations. I've seen the film many times. Without exaggeration, I would say about 6-9 times. I can remember some of the lines that are in this film... that's when you know a film is great.That is a lot of scenes where characters just hang around and talk and ""***like Chris Stuckmann (film critic) said***"" there are scenes where Leo and Brad's character just sit down and watch an episode of TV show that they've worked on and the entire shot is just the TV and we're watching an episode of a TV show that they're in and they're waiting to appear and you hear their commentary in the background is truly amazing. That would not work as well if weren't for those two actors.I've been a film geek since I was young and I was also inspired by Quentin Tarantino ever since I saw Pulp Fiction. I remember this quote he said in an interview, ""You don't have to know how to make a movie... if you truly love Cinema, with all of your hearts... then you can't help but to make a good movie"" That's it that inspired me to be a filmmaker.Quentin Tarantino is a legend when it comes to making movies. The guy knows everything about filmmaking and you can see within his films. Some people might not enjoy this film, my friends didn't like it. They were disappointed after they saw it. But I didn't I adored this film in every way I can. I LOVE everything there is about this film. Everything in this film went beyond my expectation when I saw the trailer. In the trailer, it seems like it's just a collection of cool consequences. I roared in the third act. It's amazing, especially with a song that fits the situation which I won't spoil.In conclusion, this is Quentin Tarantino's love letter to filmmaking and Hollywood in that era. It's a very fun, cool laid-back film, thank you, Quentin, it's an honour to be able to see your vision, your ideas and what you have to say about filmmaking and storytelling. Definitely check the film out give it a try if you haven't. Doesn't matter if you're a fan of Tarantino or just a person who enjoys movies.Thank you Quentin... thank you.""You don't have to know how to make a movie...... if you truly love Cinema, with all of your hearts... then you can't help but to make a good movie"" Quentin Tarantino",True
2771,1 September 2020,chaswe-28402,Robin Hood (2010),3.0,"Was this a joke ? Crowe and Ridley playing Monty Python ? The feeble French invasion turned to D Day in reverse. Same landing craft, however. The English arrows over the grey cliffs of Dungeness (cliffs? Dungeness is as flat as a pancake) didn't help the French to fight in the shade. Didn't King John actually sign Magna Carta at Runnymede ? But here it looked like he set it alight. Wasn't Marion a maid, not a missus ? I thought Robin robbed the rich to help the poor. Not here. So Richard didn't make it back to England to say hello to Errol ? Sorry Ridley. You've got it all wrong. The real Robin Hood always rode through the green and pleasant woodland, dressed in Lincoln Green, with his merry men, shooting deer and sheriffs, splitting arrows, fluently trouncing dastards, feared by the bad, loved by the good. Scouting ahead was nobody's fool, the well-employed Jester, with the brew that is true; and by his side was the glorious Maid Marion de Havilland, in brilliant sun-drenched colour. Wikipedia reveals this production to have been a stonking disaster, end to end. I didn't actually see the French king surrendering to Crowe, ***like somebody said***, but there you go. How come von Sydow got a Beowulf-type Viking send-off ? Some good visuals, but not one of Ridley's best. I'd say his worst.",True
3039,24 August 2013,ironhorse_iv,Ferris Bueller's Day Off (1986),8.0,"Honestly I felt that this was more Cameron Frye (Alan Ruck)'s movie than Ferris Bueller (Matthew Broderick) because nothing about Ferris is a coming of age story character arch. Ferris Bueller just end up being just Ferris Bueller by the end of the film, while Cameron grows as a character. This comedy movie written, produced and directed by John Hughes tells the story of Ferris Bueller who decides to skip school and spend the day in downtown Chicago, while not getting catch by Dean of Students Edward Rooney (Jeffrey Jones) or Ferris' sarcastic sister Jeanie (Jennifer Grey) . It's just another day in the life of Ferris Bueller. While, normal fans think that the movie is just that. A simple plot. Others think, the events of the day are really happening in Cameron Frye's mind. Ferris Bueller and even Ferris' girlfriend Sloane Peterson (Mia Sara) might just be made up in Cameron's mind to feel the void of no- friends. This might be taken serious due to the fact that Cameron is clearly older (Ruck was 29 playing 17) have no girlfriend, lonely, and has a control freak of a father. Ferris is the total opposite of Cameron: he's fun, spontaneous and has a loving family and sexy girlfriend. I don't really like Ferris due to his unrealistic nature. Truly he is unsympathetic prodigal son, leaping out of the nest at breakneck speed with flagrant disregard to everything except his own inner pleasure-seeker without judgment. It's Cameron that is the punching bag of events, taking all the risk. While, Ferris act sick to get out of school, Cameron is sick. This theory explains the more fantastic elements of the film such as the breaking of the fourth wall or unexplained events. For example, the whole city of Chicago rallies around the sick Ferris. This represents Cameron's dejected home life and how he yearns for people to care for him. This might also might represent what Cameron thinks the ""popular"" kids at school are like. The world revolves around them. Most of the film has Cameron wearing a medical insignia t-shirt. By the end of the film, the medical insignia, is inside out. Perhaps saying he doesn't need the medical help anymore, he has set himself on the path to correcting his life and facing his father. This film might be a comedy, but it's a thinking man comedy. There was the odd scene with Cameron was fixated on the little girl in Georges Seurat's 'A Sunday Afternoon on the Island of La Grande Jatte' painting. Does it any deeper meaning or just pointless. Cameron might see his life in pointillism, a technique of painting using small dots, hence the zoom in. That's kind of a discouraging thought. Unless, perhaps this was Cameron's mental journey towards understanding. In a way, that really works with this theory. The closer you look at the movie, the more everything looks like abstract blemishes on the fabric of Cameron's mind. When you're just observing the movie without thinking too deeply about it, it's just Ferris and his friends having a day running around Chicago. But the closer you look, the less things appear to be what we're shown. Actually, even before I did notice near the end that Ferris and Cameron had a bit of a role reversal when the car went over the edge. In that scene, Ferris, the always calm confident guy was scared and Cameron stepped up as the calm confident guy. Almost as though there was a momentary persona swap as though Cameron where beginning to reconcile himself, drawing Ferris strengths into himself and offloading his weaknesses into Ferris. Fascinating. Anyway, it's a cute theory, though probably not what John Hughes had in mind. The humor is so funny that it is often parody or use in other movies. The acting from all the cast is spot on. This movie is a tour guide of Chicago as it feature many famous Chicago landmarks including the then Sears Tower, Wrigley Field and the Art Institute of Chicago. I like how Wrigley Field had a Ferris Bueller's Day game in 2011. John Hughes wanted to film a scene where Ferris, Sloane, and Cameron go to a strip club. Paramount scrapped it. Honestly, that would have made the movie way more interesting than it supposed to have. I love the 1961 Ferrari GT California. I hope to get one, one day to drive around Chicago. Things I didn't like about the film: no character development for Ferris. All fun, but no work ethic. It might be telling kids, it's OK to have fun, it's not like you have to work a little to have that fun. I dig the ""Danke Schoen"" and ""Twist and Shout"" songs, just not the over the top parade scene. It felt too cheesy. I did like the 'Oh Yeah' song as well. The soundtrack is amazing. The movie was so popular, it got a short live TV show in 1990's with a then unknown Jennifer Aniston, a 2011's documentary and even an Super Bowl commercial in 2012. Overall: it has the spirit of effortless escapism. ***Like Ferris Bueller said*** on his day off, ""Find the joy in life, because Life moves pretty fast; if you don't stop and look around once in a while, you could miss it!'"" So don't miss out on seeing this film.",True
3058,24 August 2013,votesmall,Swindle (2013 TV Movie),1.0,"There are some adaptations that can get away with omitting and changing some parts from the book it is based on. For example, Jurassic Park, I Am Legend and Jaws make pretty major changes from the source material but does so in a fashion that maintains the overall structure, style and message. Gordon Korman's ""Swindle"" one of my absolute favorite books, but the adaptation of Swindle is horrendous. This film is by far the worst film adaptation I have EVER seen. Not only was Swindle one of the best damn books ever written, but everything in the book worked in a way that made total sense. The movie barely retains the structure of the book it is based on. This would be forgivable if Swindle was 400 pages long, like Jurassic Park or the Lord of the Rings. Obviously you need to omit some material. BUT Swindle was a modest length children's book, so why this movie felt the need to make ridiculous amounts of unreasonable and senseless changes to the PERFECT book. I'm not some twelve year old writing this review, and I'm not acting ***like everything Gordon Korman wrote*** was a masterpiece, but when Korman got it right, he got it right. Why even make an adaptation of one of the greatest children's novels ever made when you won't do it right? I'm sixteen nearing my seventeenth birthday and I can firmly say that Swindle is one of the greatest children's books ever written. It knows its audience, has a great structure, original plot, refrains from clichés, flamboyant, developed characters and a realistic method of retrieving the card. This film has neither the charisma of the novel nor its intelligence. EXAMPLES: 1) In the book, S. Wendell actually fools them into selling the card to him by explaining that it is a worthless replica. In the film, they need as MUCH MONEY AS THEY CAN GET because Ben (not Griffin) is moving to Montana. Also for some reason a hole is punched into a wall and they need cash fast to cover the costs. So when they sell it to Swendell not only is it painfully obvious to our ignoramus protagonists (in the book they were intelligent and likable) that Swendell is lying but he later actually admits that, get this, HE WAS LYING!!! He then raises the price from $10 to a shattering sum of $350. Obviously knowing that Swendell can't be trusted, our protagonists cleverly look up the price of the card and discover its true value, right? WRONG. They, despite knowing it is worth more than Swendell said, they ACTUALLY SELL IT TO HIM. In the book our protagonists were intelligent and only were fooled because S. Wendell was confident and actually sounded like he knew what he was talking about. 2) One of the biggest changes comes from making Griffin from a regular whiz-kid into a suave and stuck-up cool kid. Also, Ben's dad is the inventor and Ben (whose narcolepsy is taken out) is the one moving. Also instead of being a practical fruit picker for farmers, the invention turns out to be a lame extending arm made for lazy people who can't get their ass off the couch to turn off the lights or grab the remote. The characters are also made to be in their late teens as opposed to middle schoolers in the book. Swindell is also made to be an incompetent and irrational monster (he pushed a nun down a steep hill) as opposed to the selfish and sneaky character of the book who was too intelligent to do something like that. The character of the book was also a great liar whereas the character of the film is such a terrible liar that anyone with an IQ over 40 would realize they were being screwed over. The character's names, genders, specialties and dialogue are changed beyond belief but perhaps the BIGGEST flaw is when they change the final heist from S. Wendell's house to a CROWDED EXHIBIT HALL. Instead of being a fresh and suspenseful heist from a house in the middle of the night it goes from being a predictable heist in a crowded hotel ballroom. 3)There are THREE Call Me Maybe references. In the final scene, Darren and Savannah sing Call Me Maybe. What was the point of this? Nothing, nothing at all. But while the book will still hold up in three hundred years, the movie will be dated. 4) The ending of the book taught us that money doesn't matter as long as you have friends. Here they sell the card and each of the talentless group members actually get $25,000. The movie literally spat on the book.To say I was disappointed by this film is an understatement. And you may criticize me for comparing the two works but think of it this way: Perfection cannot be topped unless you are going to at least try to replicate the original. This film DOESN'T EVEN TRY. A childish, predictable, preposterous, unrealistic, rushed and overall boring film that tried to capitalize on one of the greatest books for children ever written. Did you like the Cat in the Hat? If so, this film is probably for you. But if you DIDN'T because a simple morality tale from Dr. Seuss was superior to Mike Myers in a cat suit, you WOULDN'T like this slapstick bullshit film adaptation, mainly because THERE IS NO STRUCTURE. It happens SO FAST and there is no challenge for our protagonists. I barely realized this was based off Swindle, because it was so untrue to the book (which is a good thing if done correctly) but it was childish and mind-numbing to watch. I wish this movie hadn't been made. Gordon Korman and anyone over the age of six would HATE this movie for not even trying to relate to its target audience or tell the story in an effective and suspenseful manner, as the book did so well.",True
3126,24 August 2013,omendata,Zombie Massacre (2013),3.0,"It was bad very bad - the acting was utterly ridiculous it was almost like a comedy and the lines ""so many wars , so many women"" they truly have to be heard to be believed almost every scene there was a monstrously bad piece of dialogue ""You know what a big pile of Shiite with flies around it looks like , I'm going to create a big pile of Shiite"" - That was one of the more witty lines of dialogue! I am not joking you really really really have to see this for the dialogue - virtually every line was cringe-worthy.The main actor was about as dull as Mr Dull McDull from the town of Drab On The Island Of Very Very Tedious. Great name ""Jack Stone"" - I wonder how many movies have used this combo of hard nut naming convention? I can only presume he was hired not due to his miniscule acting talent but massive manly frame to go with the equally manly hard-nut name!As for the female sword wielding ninja mute - oh words evade me just watch it and you will see what i mean!To be fair the Scottish guy was actually quite funny with lines ***like ""gonna slow it down chief I'm getting old"" said*** in that pithy Glaswegian drawl - I am still not sure whether this was by design or pure fluke or perhaps because I empathise with a fellow Glaswegian forced to take part in this carousel of calamity?Zombie make-up was actually quite good but the whole thing was a disaster and more of a comedy than a serious Zombie flick - view it as a comedy and you might make it through the 1 and a half odd hours of torture!!!I am giving it three stars just because of the funny Scots mercenary!!! He deserves a badge for making it through this movie as do I!!! Was it meant to be funny and ironic - who knows but it has seriously messed with my head!!!",True
3321,25 August 2013,patsworld,We're the Millers (2013),8.0,"Okay, my expectations for We're the Millers wasn't too high when I went to see it. And granted, some of it is overly crude and too gross, but a lot of it is laugh out loud funny, too. This is not a movie that's going to win any awards, but it is not a bad movie if you just want to be entertained for an hour or soand are not a kid. This is not a movie for kids, but for grownups who aren't the sort to be put off by a few of the scenes, it's a funny film. And I don't suppose those folks are going to be interested in seeing a picture like this anyway, so.. At any rate, it's refreshing to see something that isn't geared to the teenage mindset, brimming over with vampires, or moronic party, party, party time, or the sort slam-bang full of non-stop violence as to make your head hurt, so that I quite enjoyed myself for the most part. ***Like I said***, a few scenes I could have done without but then, nobody asked me about the content, or how to present it, when it was filmed. Jennifer Aniston continues to prove what a delight she is. She's one of the few actresses who appeal to both male and female viewers. The males for obvious reasons and the females because , although she is gorgeous, it's the rare version of beauty that isn't threatening because she IS so very likable. The perfect star for a comedy movie. And Jason Sudeikis is terrific. Just perfect for comedy and yet has the ability to carry serious moments equally as well. This had a fun plot, if one can get past the drug-running aspect of it, and after all, it's only a movie, so why not? Had some good music with Will Poulter, who played the 'son' super doing his thing to Waterfall. All in all, better than you'd expect and a dandy opportunity for some laughs.",True
3344,25 August 2013,Stompgal_87,My Dog Tulip (2009),8.0,"As a lover of dogs and animation, I found this film appealing. It is a perfect example that combines the two alongside '101 Dalmatians,' 'Oliver and Company,' 'The Plague Dogs' and pretty much any incarnation of 'Scooby Doo,' although the animation style of this film differs from that of all four of the titles since it has a sketchy if wobbly look. Most of the animation was smooth but jerky on the chickens and the backgrounds were as sketchy as the characters and both had rather subtle colours if the fantasy sequences on paper were plain and simple.The narrative of this film was engaging and reminiscent of 'Marley and Me.' I liked how Joe's typing or handwriting fitted in with it as well as the fantasy sequences depicting Tulip and other dogs in anthropomorphic ways on lined or plain sketch paper while the music had an old-fashioned feel that suited the film's style very well. Although some parts of it were crude and disgusting (especially Joe cleaning up Tulip's runny mess in the middle of the night - it nearly made me vomit) and risqué (no wonder it's a UK 12 rating), I was touched by the unlikely relationship of Joe and Tulip. Although she was a live-wire and seemed to be more interested in his sister Nancy, he still loved her. Parts of the film reminded me of when my parents owned a dog themselves such as Tulip dragging her bottom on the floor with her hind legs in the air (probably what dogs do when they need to relieve themselves) and going on heat since I observed Jasmine (my parents' Cavalier King Charles spaniel that they acquired in 2008 but was sadly returned to her breeder in 2011) dragging her bottom on the floor and my dad suggesting she needed a wee as well as her moments of going on heat. While the pace of the film was pretty slow until Tulip had her puppies, it was at this point that it became rushed because it seemed ***like little or no time between the birth of Tulip's puppies and her death (mentioned*** but not seen: only depicted as her fading away and returning as an anthropomorphic spirit). I like the fact that this film was dedicated to Lynn Redgrave since it was her final film before her unfortunate passing.All in all this is an obscure yet distinctively-animated film that has its blend of crude, risqué and touching moments and is easier to follow than 'The Plague Dogs'. 8/10.",True
3537,25 August 2013,garyj-15,The Beast (2009),1.0,"Predictable, very bad stories, Mr Swayze looks ill, how do they expect us to believe he is a tough cop? Casting flaws; Victoria Tennant as a 10 yr old kid mother? Did not ***like it AT ALLWhen action happens, there are no people in the streets! Did someone really liked it? Bad stunts Worn out cases Slow scenes I already wrote*** what I think of the series and this thing still wants me to write more to be able to make a post, there is not anymore to write about that boring series. I have to keep writing until I fill 10 lines of comments, hard to do The only good thing about the Beast is that it only has 1 season",True
3812,26 August 2013,dpfeiffer6164,"High School USA!: Janitor Day (2013) Season 1, Episode 6",10.0,"The episode of best friends forever #6 didn't air on TV, Fox, last night the 26th ***like it said*** it would.I wish it would have, but it didn't. the episodes that aired were Bullies and Adoption. Hopefully it will air soon. I have seen all the other episodes 1-5.I enjoyed watching them all. so I was disappointed not to be ableto watch it on TV. I was able to watch it on my computer, on Hub but it's not the same. this may not be a review but it's how I feelIf it says that it's supposed to air on a certain day than it shouldbe aired that day. does anyone know when it will air? I gave it a 10 because it was great to watch it (on my computer). I would have rather watched it on my TV instead. Let me know through this site. because I really want to see it on TV and possibly record it with the other episodes without commercials like on the computer hope to hear from someone soon on the airing of this episode (best friends forever), thanks.",True
3895,26 August 2013,Reno-Rangan,Kick-Ass 2 (2013),8.0,"I took time to review this movie after the watch. This movie was not what I expected, you know what the first installment was better than this sequel. This 'Kick-ass 2' had so many jokes which are adult comedies, sometime those were too disgusting especially the puking one, ew. Don't forget the powerful gangster Mark Strong, the villain of the first movie, that led the movie to its success. But in this part, there are many villains and too weak in strength, I think except the 'Mother Russia'. And other villains are hyped too much for their strength in the intro then they were no way near to as what they were supposed to. Too many bad words used in this movie compared to first which makes not a family and kids friendly movie, just like the 'Scary movie'. Of course it was R rated movie, just for your information.The Jim Carrey's role was small but liked though expected lots more from him. When it comes to the story, it was not that great but okayish type, remember I loved first part story very much. 'Kick-Ass' was one of my favourite action movie, the end fights were breathtaking especially the bazooka and flying thing they used. In this story there are too many characters that use superhero costumes and too many superhero names which sometimes looks like some Halloween party. The main character 'Kick-Ass' was slightly disappears when other costume characters in action, that's so disappointing. On the other side of the story the 'Hit-Girl' meets 'Mean Girls' and that's an off the track of what this movie is supposed to be. Chloe was excellent, she was a little girl at first, now in this she has grown up and for the next she will be a woman. There was no time for character developments, totally randomized in its appearances, except the Mindy who gets the cooled portion of the movie but slightly drags her role with 'Mean Girls' stuff.We can say this movie is kind of an American version of 'Crow Zero' with men and women in fancy dresses. This movie keeps you alive because of its adult comedies and of course the awesome stunts. I liked the movie but not as much of its first part. I felt somewhere between two movies the bridge misled us. Better the third one should be very appropriate for its title. I'll tell something that this movie will definitely entertain you, no doubt about that but it won't be your favourite product of the year. It is hard to recommend it for one, ***like I said*** if you need entertainment then go for it but don't expect like the first, it was more like a youngster's movie.8/10",True
